DATA;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espírito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal
01/07/2010;194875052;16247841;54229734;82138970;27911930;14346577;1598381;765430;3551217;459844;7765472;693857;1413640;6715260;3193930;8625391;3240375;3840945;9001011;3196933;2108757;14307132;19957386;3595291;16298103;42288190;10650244;6351544;10910142;2493878;3104317;6109715;2638667
01/08/2010;195017573;16267657;54255905;82198254;27930974;14364783;1600017;766537;3556859;460248;7773575;695303;1415119;6718546;3194627;8629903;3242977;3842254;9006205;3198340;2110555;14312498;19968902;3599212;16306954;42323187;10657439;6358951;10914584;2496536;3107705;6118387;2642154
01/09/2010;195160170;16287491;54282102;82257547;27950035;14382995;1601654;767643;3562499;460676;7781672;696749;1416598;6721836;3195325;8634424;3245578;3843572;9011400;3199746;2112353;14317867;19980421;3603135;16315815;42358175;10664640;6366366;10919029;2499195;3111098;6127059;2645643
01/10/2010;195302839;16307345;54308325;82316846;27969111;14401212;1603293;768749;3568137;461128;7789765;698194;1418079;6725128;3196025;8638953;3248178;3844900;9016599;3201150;2114152;14323240;19991945;3607060;16324688;42393154;10671848;6373788;10923476;2501855;3114496;6135729;2649132
01/11/2010;195445578;16327217;54334573;82376151;27988203;14419434;1604933;769854;3573774;461604;7797852;699639;1419560;6728424;3196727;8643490;3250775;3846237;9021800;3202552;2115951;14328616;20003471;3610987;16333571;42428122;10679062;6381216;10927925;2504515;3117899;6144397;2652623
01/12/2010;195588384;16347107;54360845;82435461;28007310;14437661;1606575;770960;3579409;462104;7805935;701083;1421041;6731723;3197431;8648035;3253371;3847583;9027004;3203953;2117749;14333995;20015001;3614916;16342464;42463080;10686283;6388651;10932375;2507177;3121306;6153065;2656114
01/01/2011;195731254;16367016;54387140;82494774;28026430;14455893;1608218;772065;3585042;462628;7814013;702527;1422523;6735024;3198137;8652588;3255966;3848938;9032210;3205353;2119548;14339377;20026534;3618847;16351367;42498026;10693510;6396092;10936828;2509839;3124717;6161731;2659607
01/02/2011;195874186;16386941;54413459;82554090;28045565;14474130;1609862;773169;3590674;463175;7822086;703970;1424005;6738329;3198844;8657149;3258558;3850302;9037418;3206750;2121347;14344761;20038069;3622780;16360280;42532961;10700743;6403540;10941282;2512502;3128133;6170395;2663100
01/03/2011;196017176;16406884;54439800;82613407;28064714;14492371;1611507;774273;3596303;463746;7830154;705412;1425488;6741636;3199554;8661717;3261149;3851675;9042628;3208146;2123146;14350149;20049606;3626715;16369202;42567884;10707981;6410994;10945738;2515165;3131554;6179057;2666594
01/04/2011;196160222;16426844;54466163;82672725;28083875;14510615;1613154;775377;3601931;464339;7838217;706854;1426972;6744946;3200264;8666293;3263738;3853056;9047841;3209540;2124945;14355538;20061146;3630651;16378133;42602794;10715225;6418454;10950196;2517829;3134978;6187718;2670090
01/05/2011;196303321;16446820;54492547;82732041;28103049;14528864;1614802;776481;3607556;464955;7846275;708295;1428455;6748259;3200977;8670876;3266326;3854446;9053056;3210933;2126744;14360930;20072687;3634589;16387074;42637692;10722475;6425921;10954654;2520494;3138407;6196376;2673586
01/06/2011;196446470;16466812;54518952;82791356;28122236;14547115;1616451;777584;3613180;465594;7854327;709735;1429940;6751574;3201691;8675467;3268911;3855845;9058272;3212324;2128543;14366324;20084230;3638528;16396023;42672575;10729729;6433392;10959114;2523160;3141841;6205033;2677082
01/07/2011;196589667;16486819;54545376;82850667;28141434;14565370;1618102;778687;3618801;466255;7862375;711175;1431424;6754892;3202407;8680064;3271495;3857252;9063491;3213713;2130342;14371719;20095774;3642469;16404980;42707445;10736989;6440870;10963575;2525826;3145278;6213687;2680580
